iter	Passed	Remaining
0	131	131305
1	132	66003
2	133	44209
3	133	33339
4	134	26858
5	135	22500
6	136	19391
7	137	17063
8	138	15247
9	139	13793
10	140	12618
11	141	11624
12	142	10782
13	142	10065
14	143	9447
15	144	8904
16	145	8431
17	146	8014
18	147	7626
19	148	7277
20	149	6967
21	150	6682
22	151	6419
23	151	6175
24	152	5957
25	153	5756
26	155	5589
27	156	5415
28	156	5249
29	157	5096
30	158	4951
31	159	4820
32	160	4696
33	161	4575
34	161	4466
35	162	4362
36	163	4260
37	164	4164
38	165	4073
39	166	3985
40	167	3908
41	168	3837
42	169	3767
43	170	3695
44	171	3629
45	171	3566
46	172	3505
47	173	3445
48	174	3390
49	175	3337
50	176	3286
51	177	3236
52	178	3186
53	179	3139
54	180	3094
55	180	3050
56	181	3007
57	182	2968
58	183	2931
59	184	2892
60	185	2856
61	186	2820
62	187	2787
63	188	2753
64	189	2720
65	190	2691
66	191	2660
67	191	2625
68	193	2607
69	194	2578
70	194	2550
71	196	2527
72	196	2500
73	197	2474
74	198	2450
75	199	2426
76	200	2403
77	201	2379
78	202	2357
79	203	2334
80	203	2313
81	204	2292
82	205	2272
83	206	2253
84	207	2232
85	208	2214
86	209	2193
87	210	2176
88	210	2159
89	211	2141
90	212	2125
91	213	2109
92	214	2095
93	215	2078
94	216	2063
95	217	2048
96	218	2033
97	219	2019
98	220	2005
99	221	1992
100	222	1979
101	223	1963
102	223	1950
103	224	1937
104	226	1926
105	226	1914
106	227	1901
107	228	1889
108	229	1878
109	230	1866
110	231	1855
111	232	1843
112	233	1832
113	234	1821
114	235	1810
115	236	1798
116	236	1787
117	237	1775
118	238	1763
119	238	1752
120	239	1741
121	240	1730
122	240	1717
123	241	1707
124	242	1699
125	243	1690
126	244	1681
127	245	1671
128	246	1662
129	246	1652
130	247	1643
131	248	1633
132	249	1624
133	249	1615
134	250	1606
135	251	1596
136	252	1588
137	252	1578
138	253	1570
139	254	1561
140	255	1553
141	255	1546
142	256	1539
143	257	1532
144	258	1526
145	259	1519
146	260	1512
147	261	1504
148	262	1497
149	262	1490
150	263	1482
151	264	1476
152	265	1469
153	266	1463
154	267	1457
155	268	1451
156	269	1444
157	269	1438
158	270	1432
159	271	1427
160	272	1422
161	274	1417
162	275	1412
163	276	1408
164	277	1403
165	278	1399
166	279	1394
167	280	1390
168	281	1386
169	283	1382
170	284	1378
171	285	1374
172	286	1370
173	287	1366
174	288	1361
175	289	1357
176	291	1353
177	292	1349
178	293	1346
179	294	1342
180	295	1335
181	296	1332
182	297	1328
183	298	1324
184	299	1320
185	300	1315
186	301	1311
187	302	1306
188	303	1301
189	303	1295
190	304	1290
191	305	1286
192	306	1281
193	307	1278
194	309	1275
195	310	1272
196	311	1269
197	312	1265
198	313	1261
199	314	1257
200	315	1252
201	315	1247
202	316	1243
203	317	1238
204	318	1234
205	319	1229
206	319	1225
207	320	1221
208	321	1216
209	322	1212
210	323	1208
211	324	1204
212	324	1200
213	325	1195
214	326	1192
215	327	1189
216	328	1185
217	329	1182
218	330	1179
219	331	1174
220	332	1170
221	332	1166
222	333	1162
223	334	1159
224	335	1155
225	336	1151
226	337	1148
227	338	1144
228	338	1141
229	339	1138
230	340	1134
231	341	1131
232	342	1127
233	343	1124
234	344	1120
235	344	1116
236	345	1113
237	346	1109
238	347	1106
239	348	1102
240	348	1099
241	349	1095
242	350	1091
243	351	1088
244	352	1085
245	353	1081
246	353	1078
247	354	1075
248	355	1071
249	356	1069
250	357	1067
251	358	1064
252	359	1062
253	360	1059
254	361	1057
255	362	1053
256	363	1050
257	364	1047
258	365	1044
259	365	1041
260	366	1038
261	367	1034
262	368	1031
263	368	1028
264	369	1025
265	370	1022
266	371	1020
267	372	1017
268	373	1014
269	374	1011
270	375	1008
271	375	1005
272	376	1003
273	377	1000
274	378	997
275	379	994
276	379	991
277	380	988
